EmployeeID,Department,Position,Gender,Age,Education,ExperienceYears,City,ContractType,HireDate,Year,Salary,Bonus,PerformanceScore,SickLeave,VacationLeave,OvertimeHours,TrainingHours,MaritalStatus,PromotionLast5Years,JobLevel,Attrition
1,Sales,Director,Male,44,MBA,10,Pune,Contract,2016-02-17 17:24:31,2024,646655,97734,2,12,20,0,40,Married,No,Mid,No
2,Marketing,Executive,Male,47,Bachelor,1,Bangalore,Contract,2020-11-29 21:16:14,2024,833953,245962,3,7,5,20,48,Single,No,Junior,No
3,IT,Senior Engineer,Female,25,PhD,16,Hyderabad,Contract,2020-12-08 23:29:54,2021,982457,23830,1,0,8,39,61,Married,No,Senior,No
4,Marketing,Manager,Female,47,PhD,15,Hyderabad,Contract,2016-02-29 11:17:22,2022,1177709,216339,3,8,10,38,70,Married,No,Junior,No
5,Marketing,Associate,Male,30,MBA,14,Delhi,Contract,2017-10-24 17:45:53,2020,1925338,178829,1,11,25,36,34,Single,No,Senior,No
6,Finance,Senior Engineer,Female,26,PhD,12,Bangalore,Contract,2017-01-13 11:40:09,2019,718401,83867,2,1,24,2,14,Married,No,Mid,No
7,IT,Manager,Female,53,Master,14,Mumbai,Contract,2018-12-21 01:57:32,2020,1424487,184838,2,13,18,46,65,Married,No,Senior,No
8,IT,Manager,Female,41,MBA,3,Bangalore,Permanent,2024-08-19 17:22:10,2020,1441219,298812,4,12,24,30,67,Single,Yes,Mid,No
9,IT,Analyst,Female,32,Diploma,15,Bangalore,Permanent,2017-10-28 05:32:41,2022,1116916,44996,4,1,19,26,40,Single,No,Senior,No
10,Marketing,Associate,Female,36,Master,11,Bangalore,Contract,2022-06-20 00:44:43,2019,559383,154137,3,3,11,16,58,Single,No,Junior,No
11,Sales,Analyst,Male,53,Master,3,Hyderabad,Permanent,2021-08-16 12:08:54,2021,663309,292611,2,11,11,22,69,Single,No,Junior,Yes
12,IT,Executive,Male,49,Master,2,Hyderabad,Permanent,2015-11-15 21:47:46,2020,476682,261452,4,9,22,12,8,Single,No,Senior,Yes
13,Operations,Analyst,Female,43,Diploma,16,Pune,Permanent,2021-05-19 02:30:17,2019,1112267,172079,2,2,27,46,59,Single,No,Mid,No
14,Marketing,Analyst,Male,38,Bachelor,17,Mumbai,Permanent,2023-01-23 00:09:34,2021,396453,219151,1,3,6,26,58,Single,Yes,Mid,No
15,Finance,Senior Engineer,Male,47,PhD,17,Delhi,Permanent,2015-10-22 20:15:34,2020,878078,114369,4,5,24,50,68,Single,No,Mid,No
16,Sales,Director,Female,28,MBA,16,Bangalore,Contract,2023-02-13 06:42:32,2019,1032320,95569,3,6,19,19,26,Single,No,Senior,No
17,Operations,Manager,Male,47,Bachelor,11,Mumbai,Permanent,2024-09-10 10:29:17,2022,637990,54169,4,4,5,45,29,Single,Yes,Senior,No
18,Operations,Associate,Female,46,MBA,20,Mumbai,Contract,2020-12-04 08:49:12,2024,1760743,36829,2,1,25,52,63,Single,Yes,Senior,Yes
19,Finance,Analyst,Female,31,PhD,3,Pune,Contract,2024-01-06 07:04:13,2024,785320,24522,5,2,21,12,61,Single,Yes,Senior,Yes
20,Sales,Associate,Male,40,Diploma,11,Delhi,Contract,2023-11-06 04:58:05,2020,708449,138576,5,9,24,43,58,Married,No,Mid,No
21,Marketing,Director,Female,32,Master,20,Bangalore,Permanent,2021-06-20 08:26:28,2020,837488,181545,2,10,29,23,48,Single,Yes,Mid,Yes
22,HR,Director,Female,34,Master,19,Delhi,Contract,2015-02-16 18:13:35,2019,876563,289843,1,2,17,54,56,Single,No,Manager,Yes
23,Sales,Analyst,Female,29,Diploma,14,Pune,Contract,2018-10-28 17:37:47,2024,769284,88165,4,13,16,40,20,Single,No,Senior,No
24,Finance,Executive,Female,25,Bachelor,15,Hyderabad,Contract,2022-12-24 03:10:12,2020,1653168,95692,5,4,28,58,20,Single,No,Manager,No
25,Operations,Analyst,Female,52,Bachelor,4,Mumbai,Contract,2018-11-23 14:26:47,2021,1248084,37441,1,11,26,2,59,Single,No,Senior,No
26,Marketing,Senior Engineer,Male,49,MBA,20,Bangalore,Permanent,2022-02-03 23:19:25,2020,915973,50716,2,10,19,42,65,Married,No,Manager,No
27,Sales,Manager,Male,32,Diploma,14,Hyderabad,Contract,2022-04-21 16:37:24,2024,1763138,82175,1,11,28,9,44,Married,No,Mid,No
28,HR,Executive,Female,22,Bachelor,16,Pune,Contract,2022-03-23 09:42:37,2023,1978318,26834,2,4,9,0,25,Married,No,Mid,No
29,HR,Analyst,Female,59,Diploma,17,Delhi,Contract,2015-03-27 03:22:28,2024,1874630,281609,4,3,11,48,70,Married,No,Manager,No
30,IT,Associate,Male,45,PhD,4,Mumbai,Contract,2022-09-24 19:07:24,2021,755235,38179,1,7,12,59,12,Single,No,Junior,No
31,IT,Executive,Female,52,Master,12,Bangalore,Permanent,2024-01-09 14:22:33,2019,1839250,123153,4,5,27,57,75,Married,No,Senior,Yes
32,Finance,Executive,Male,47,Master,18,Hyderabad,Contract,2019-11-16 01:11:13,2021,793496,166854,1,5,18,12,14,Married,Yes,Manager,No
33,Sales,Analyst,Female,26,Master,12,Hyderabad,Contract,2018-03-09 05:50:52,2023,1819493,273975,2,0,8,13,61,Single,No,Manager,No
34,Sales,Executive,Female,41,Diploma,17,Mumbai,Contract,2019-09-16 18:22:59,2023,1568748,94967,2,5,25,32,8,Married,No,Junior,No
35,Operations,Associate,Female,32,Diploma,13,Delhi,Contract,2023-12-24 04:15:03,2020,1373877,29496,1,2,18,1,47,Married,No,Mid,No
36,Operations,Director,Female,54,MBA,3,Pune,Contract,2021-02-14 10:56:23,2020,1917627,239939,2,12,14,1,67,Single,No,Manager,No
37,Operations,Executive,Female,59,Master,3,Delhi,Contract,2019-10-10 10:21:44,2024,1500413,190310,3,5,26,38,47,Single,No,Mid,No
38,IT,Director,Female,48,MBA,19,Delhi,Permanent,2024-09-28 03:30:50,2022,1131219,66025,3,9,20,40,71,Married,Yes,Senior,No
39,Sales,Associate,Female,55,Master,19,Delhi,Contract,2020-04-04 00:13:35,2021,1356001,280281,4,12,15,55,55,Single,No,Junior,No
40,Sales,Analyst,Male,36,MBA,18,Mumbai,Permanent,2022-06-01 16:02:51,2024,575001,285856,3,10,26,30,60,Married,No,Mid,No
41,HR,Manager,Male,53,MBA,12,Mumbai,Permanent,2022-06-17 00:20:42,2022,1532419,52664,3,12,29,3,47,Single,No,Manager,No
42,IT,Executive,Male,42,PhD,11,Pune,Contract,2018-08-19 02:37:03,2024,1703719,261871,5,5,18,33,28,Married,No,Junior,No
43,Marketing,Manager,Female,26,MBA,6,Delhi,Permanent,2016-09-09 16:18:33,2023,1764236,163492,5,1,18,18,38,Married,No,Junior,No
44,IT,Associate,Female,27,Diploma,11,Mumbai,Contract,2015-08-28 03:04:00,2020,1083849,287459,5,0,6,57,63,Married,No,Junior,No
45,Marketing,Executive,Female,59,MBA,20,Pune,Permanent,2015-05-29 10:40:30,2020,1914321,245648,5,10,26,36,6,Single,No,Junior,Yes
